""|"テーマパーク優待プラン"|"Thursday"|"5"|"1"|"off"|"on"|"on"|"武田晴信"|"電話でのご連絡"|"12345678901"|""|"off"|"部屋指定なし"|"57000"|"BlackBerryPlayBook"|""
""|"カップル限定プラン"|"Friday"|"2"|"2"|"on"|"on"|"on"|"真田昌虎"|"電話でのご連絡"|"23456789012"|""|"144文字"|"プレミアムツイン"|"40000"|"BlackBerryPlayBook"|""
""|"素泊まり"|"Saturday"|"9"|"2"|"on"|"off"|"off"|"山本寛太"|"メールでのご連絡"|""|"kanta@example.com"|"144文字"|"シングル"|"128000"|"BlackBerryPlayBook"|""
""|"エステ・マッサージプラン"|"Monday"|"1"|"6"|"on"|"off"|"on"|"武田信子"|"メールでのご連絡"|""|"offbuko@example.com"|"off"|"部屋指定なし"|"66000"|"BlackBerryPlayBook"|""
""|"お得な特典付きプラン"|"Tuesday"|"1"|"9"|"on"|"on"|"off"|"長尾景虎"|"電話でのご連絡"|"34567890123"|""|"off"|"スタンダードツイン"|"81000"|"BlackBerryPlayBook"|""
""|"お得な特典付きプラン"|"Monday"|"1"|"1"|"off"|"off"|"off"|"宇佐美一昌"|"希望しない"|""|""|"off"|"スタンダードツイン"|"7000"|"BlackBerryZ30"|""
""|"カップル限定プラン"|"Thursday"|"2"|"2"|"on"|"on"|"on"|"直江愛子"|"メールでのご連絡"|""|"aiko@example.com"|"144文字"|"プレミアムツイン"|"40000"|"BlackBerryZ30"|""
""|"出張ビジネスプラン"|"Saturday"|"1"|"1"|"off"|"off"|"on"|"柿崎家時"|"電話でのご連絡"|"45678901234"|""|"144文字"|"シングル"|"10375"|"GalaxyS5"|""
""|"貸し切り露天風呂プラン"|"Sunday"|"3"|"1"|"on"|"on"|"on"|"武田晴信"|"電話でのご連絡"|"56789012345"|""|"off"|"部屋指定なし"|"34250"|"GalaxyS5"|""
""|"お得な特典付きプラン"|"Wednesday"|"9"|"1"|"off"|"on"|"off"|"真田昌虎"|"希望しない"|""|""|"off"|"スタンダードツイン"|"67500"|"GalaxyS5"|""
""|"テーマパーク優待プラン"|"Friday"|"5"|"9"|"on"|"on"|"off"|"山本寛太"|"メールでのご連絡"|""|"kanta@example.com"|"144文字"|"部屋指定なし"|"549000"|"GalaxyS5"|""
""|"貸し切り露天風呂プラン"|"Sunday"|"3"|"6"|"off"|"off"|"off"|"武田信子"|"メールでのご連絡"|""|"offbuko@example.com"|"off"|"部屋指定なし"|"175500"|"iPad"|""
""|"素泊まり"|"Friday"|"1"|"1"|"on"|"on"|"off"|"長尾景虎"|"電話でのご連絡"|"67890123456"|""|"off"|"シングル"|"7500"|"iPad_Mini"|""
""|"出張ビジネスプラン"|"Tuesday"|"9"|"2"|"on"|"off"|"off"|"宇佐美一昌"|"希望しない"|""|""|"144文字"|"シングル"|"160500"|"iPad_Mini"|""
""|"お得な特典付きプラン"|"Saturday"|"1"|"9"|"off"|"off"|"off"|"直江愛子"|"電話でのご連絡"|"78901234567"|""|"off"|"スタンダードツイン"|"78750"|"iPad_Mini"|""
""|"素泊まり"|"Friday"|"1"|"2"|"off"|"on"|"off"|"柿崎家時"|"メールでのご連絡"|""|"ietoki@example.com"|"144文字"|"シングル"|"13000"|"iPad_PRO"|""
""|"出張ビジネスプラン"|"Wednesday"|"9"|"2"|"off"|"on"|"off"|"武田晴信"|"希望しない"|""|""|"off"|"シングル"|"144500"|"iPad_PRO"|""
""|"エステ・マッサージプラン"|"Tuesday"|"9"|"6"|"off"|"on"|"off"|"真田昌虎"|"メールでのご連絡"|""|"masatora@example.com"|"144文字"|"部屋指定なし"|"519000"|"iPad_PRO"|""
""|"お得な特典付きプラン"|"Sunday"|"1"|"9"|"off"|"on"|"off"|"山本寛太"|"メールでのご連絡"|""|"kanta@example.com"|"off"|"スタンダードツイン"|"87750"|"iPad_PRO"|""
